Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1020.000000	0.0499298 	1020.000000	0.0512775 	1020.000000	0.0510483 	1020.000000	0.0504147 	1020.000000	0.0512703 	1020.000000	7.21615e-06	
1040.000000	0.0497326 	1040.000000	0.051084  	1040.000000	0.0508619 	1040.000000	0.05023   	1040.000000	0.0510769 	1040.000000	7.08759e-06	
1060.000000	0.0495464 	1060.000000	0.0509008 	1060.000000	0.0506842 	1060.000000	0.0500545 	1060.000000	0.0508939 	1060.000000	6.96368e-06	
1080.000000	0.0493707 	1080.000000	0.0507274 	1080.000000	0.0505149 	1080.000000	0.0498878 	1080.000000	0.0507206 	1080.000000	6.84418e-06	
1100.000000	0.0492049 	1100.000000	0.0505632 	1100.000000	0.0503543 	1100.000000	0.0497292 	1100.000000	0.0505565 	1100.000000	6.72886e-06	
1120.000000	0.0490485 	1120.000000	0.0504078 	1120.000000	0.0502021 	1120.000000	0.0495785 	1120.000000	0.0504012 	1120.000000	6.6175e-06	
1140.000000	0.0489011 	1140.000000	0.0502606 	1140.000000	0.050058  	1140.000000	0.049435  	1140.000000	0.0502541 	1140.000000	6.50989e-06	
1160.000000	0.0487622 	1160.000000	0.0501214 	1160.000000	0.049921  	1160.000000	0.0492985 	1160.000000	0.0501149 	1160.000000	6.40584e-06	
1180.000000	0.0486315 	1180.000000	0.0499896 	1180.000000	0.0497906 	1180.000000	0.0491686 	1180.000000	0.0499833 	1180.000000	6.30519e-06	
1200.000000	0.0485085 	1200.000000	0.0498649 	1200.000000	0.0496661 	1200.000000	0.0490448 	1200.000000	0.0498587 	1200.000000	6.20776e-06	
1220.000000	0.0483929 	1220.000000	0.049747  	1220.000000	0.049547  	1220.000000	0.048927  	1220.000000	0.0497409 	1220.000000	6.1134e-06	
1240.000000	0.0482844 	1240.000000	0.0496355 	1240.000000	0.0494331 	1240.000000	0.0488147 	1240.000000	0.0496295 	1240.000000	6.02196e-06	
