! 12C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
105.000000	15152.1   	105.000000	15019.1   	105.000000	15250.4   	105.000000	15269     	105.000000	15250     	105.000000	109.422   	105.000000	52.7737   	105.000000	162.855   	105.000000	144.337   	105.000000	162.524   	
110.000000	16437     	110.000000	16300     	110.000000	16547.5   	110.000000	16570.3   	110.000000	16547.1   	110.000000	118.535   	110.000000	56.9882   	110.000000	176.449   	110.000000	156.013   	110.000000	176.335   	
115.000000	17764.6   	115.000000	17623.4   	115.000000	17887.6   	115.000000	17914.9   	115.000000	17887.3   	115.000000	127.916   	115.000000	61.3206   	115.000000	190.467   	115.000000	168.038   	115.000000	190.606   	
120.000000	19134.2   	120.000000	18988.5   	120.000000	19269.8   	120.000000	19302     	120.000000	19269.6   	120.000000	137.558   	120.000000	65.7657   	120.000000	204.898   	120.000000	180.402   	120.000000	205.327   	
125.000000	20545.1   	125.000000	20394.6   	125.000000	20693.5   	125.000000	20730.8   	125.000000	20693.3   	125.000000	147.452   	125.000000	70.3241   	125.000000	219.731   	125.000000	193.098   	125.000000	220.49    	
130.000000	21996.6   	130.000000	21840.7   	130.000000	22157.8   	130.000000	22200.5   	130.000000	22157.6   	130.000000	157.59    	130.000000	74.9904   	130.000000	234.957   	130.000000	206.119   	130.000000	236.087   	
135.000000	23487.9   	135.000000	23326.2   	135.000000	23661.9   	135.000000	23710.3   	135.000000	23661.7   	135.000000	167.965   	135.000000	79.7629   	135.000000	250.567   	135.000000	219.458   	135.000000	252.109   	
140.000000	25018.6   	140.000000	24850.2   	140.000000	25205.1   	140.000000	25259.4   	140.000000	25205     	140.000000	178.57    	140.000000	84.6412   	140.000000	266.55    	140.000000	233.108   	140.000000	268.549   	
145.000000	26587.9   	145.000000	26412.1   	145.000000	26786.8   	145.000000	26847.3   	145.000000	26786.6   	145.000000	189.397   	145.000000	89.6196   	145.000000	282.898   	145.000000	247.061   	145.000000	285.398   	
150.000000	28195.2   	150.000000	28011.1   	150.000000	28406.1   	150.000000	28473.1   	150.000000	28405.9   	150.000000	200.439   	150.000000	94.6952   	150.000000	299.603   	150.000000	261.313   	150.000000	302.649   	
155.000000	29862.7   	155.000000	29646.6   	155.000000	30062.5   	155.000000	30136.3   	155.000000	30062.2   	155.000000	211.691   	155.000000	99.8664   	155.000000	316.655   	155.000000	275.855   	155.000000	320.295   	
160.000000	31566.3   	160.000000	31317.8   	160.000000	31755.2   	160.000000	31836     	160.000000	31754.9   	160.000000	223.145   	160.000000	105.131   	160.000000	334.047   	160.000000	290.683   	160.000000	338.329   	
165.000000	33304.7   	165.000000	33024.2   	165.000000	33483.7   	165.000000	33571.8   	165.000000	33483.3   	165.000000	234.795   	165.000000	110.487   	165.000000	351.771   	165.000000	305.791   	165.000000	356.743   	
170.000000	35077.3   	170.000000	34765.2   	170.000000	35247.2   	170.000000	35343     	170.000000	35246.8   	170.000000	246.635   	170.000000	115.933   	170.000000	369.818   	170.000000	321.172   	170.000000	375.53    	
175.000000	36883.4   	175.000000	36540     	175.000000	37045.3   	175.000000	37148.9   	175.000000	37044.8   	175.000000	258.66    	175.000000	121.466   	175.000000	388.182   	175.000000	336.822   	175.000000	394.685   	
